property_id,location,property_type,bedrooms,bathrooms,square_feet,year_built,parking,furnished_status,amenities,latitude,longitude,price
71,Nairobi,Townhouse,1,2,3406,2019,1,Semi-Furnished,"Garden, Parking, Pool",-1.283983,36.822139,35130028
72,Malindi,Townhouse,3,4,2873,2023,2,Unfurnished,"Security, Gym",-3.237728,40.156287,20853442
73,Naivasha,Townhouse,3,3,3098,2019,0,Furnished,Garden,-0.707133,36.41616,18258796
74,Nakuru,Bungalow,2,5,1419,2021,2,Semi-Furnished,"Pool, Playground",-0.307241,36.081511,9772999
75,Wajir,Villa,4,1,3093,2018,3,Semi-Furnished,Pool,1.72711,40.057539,13722788
76,Naivasha,Apartment,6,1,827,2018,3,Furnished,Parking,-0.708141,36.441277,5471030
77,Nakuru,Bungalow,4,3,667,2019,3,Furnished,"Pool, Parking",-0.337356,36.097312,5408236
78,Nakuru,Apartment,4,1,3061,2023,2,Semi-Furnished,Parking,-0.296313,36.038638,23929294
79,Wajir,House,3,4,767,2018,3,Furnished,"Gym, Pool, Parking",1.796428,40.084737,2709147
80,Kisumu,Apartment,4,4,451,2020,1,Furnished,"Garden, Parking",-0.127856,34.720785,4298263
81,Eldoret,Apartment,1,2,640,2022,0,Semi-Furnished,"Gym, Playground, Parking, Pool",0.472545,35.23269,3349920
82,Nairobi,Villa,2,1,784,2023,3,Unfurnished,"Garden, Parking, Security, Gym",-1.2947,36.862954,9846336
83,Malindi,Townhouse,4,5,2657,2019,3,Semi-Furnished,"Garden, Parking, Gym",-3.167375,40.166084,17449969
84,Garissa,Apartment,6,3,1690,2021,1,Semi-Furnished,"Parking, Security",-0.493334,39.61512,8724844
85,Garissa,Bungalow,5,2,725,2018,3,Semi-Furnished,"Gym, Pool, Playground",-0.491291,39.694508,4496055
86,Garissa,Townhouse,6,3,3446,2019,1,Semi-Furnished,"Parking, Gym, Security, Pool",-0.457007,39.691089,19137757
87,Nakuru,Townhouse,2,3,665,2023,3,Unfurnished,"Parking, Playground, Security, Gym",-0.327618,36.063756,4735300
88,Garissa,Townhouse,2,5,745,2019,0,Furnished,"Garden, Parking",-0.440476,39.648421,3252339
89,Mombasa,Townhouse,6,2,2849,2018,3,Unfurnished,"Security, Pool, Playground",-4.027352,39.713342,29010797
90,Garissa,Townhouse,6,2,3649,2019,2,Furnished,"Pool, Playground, Garden, Parking",-0.502876,39.625571,13374054
91,Garissa,House,5,4,2172,2024,3,Unfurnished,"Parking, Garden, Pool, Security",-0.481679,39.639438,11671899
92,Eldoret,Villa,4,5,1816,2024,3,Semi-Furnished,"Parking, Playground",0.512272,35.259352,14679208
93,Garissa,Villa,1,1,544,2018,3,Furnished,"Pool, Security",-0.483708,39.633566,2884028
94,Nairobi,Bungalow,4,5,677,2022,2,Semi-Furnished,Parking,-1.279669,36.782426,8044142
95,Nairobi,Bungalow,3,4,2422,2019,0,Semi-Furnished,"Garden, Security",-1.252502,36.856152,21303584
96,Malindi,Villa,4,2,3395,2020,2,Furnished,"Playground, Parking, Garden, Security",-3.185354,40.137503,24131050
97,Garissa,Villa,4,4,3933,2022,0,Semi-Furnished,"Garden, Playground, Pool",-0.437575,39.626236,20723384
98,Nakuru,Townhouse,6,1,2074,2022,3,Unfurnished,Playground,-0.313671,36.104766,14646579
99,Malindi,Townhouse,4,1,1941,2022,3,Unfurnished,"Security, Parking, Gym, Garden",-3.232303,40.139338,14505247
100,Thika,Villa,6,2,656,2019,1,Unfurnished,Pool,-1.033062,37.097571,3987124
101,Thika,Villa,4,1,3453,2018,0,Semi-Furnished,"Gym, Garden, Playground",-1.021751,37.040466,23182548
102,Naivasha,Apartment,2,2,3512,2019,0,Furnished,Playground,-0.760709,36.398032,22046747
103,Nairobi,Townhouse,2,4,2185,2018,0,Unfurnished,"Parking, Security, Pool, Garden",-1.321172,36.853402,17872280
104,Naivasha,Apartment,1,4,1874,2021,3,Unfurnished,"Gym, Playground, Garden, Pool",-0.726913,36.406825,12793539
105,Thika,Apartment,4,5,1814,2023,3,Semi-Furnished,"Security, Parking, Gym",-1.040605,37.114856,12342469
106,Wajir,Apartment,5,5,445,2018,1,Furnished,Gym,1.774138,40.106287,2462984
107,Eldoret,House,3,2,2173,2021,0,Furnished,"Security, Pool, Parking, Playground",0.512694,35.3177,11556140
108,Mombasa,Villa,5,2,2344,2022,3,Furnished,"Pool, Garden, Security, Playground",-4.056156,39.691485,24088140
109,Garissa,Bungalow,6,1,1562,2024,1,Furnished,"Pool, Garden",-0.49526,39.608441,6243037
110,Garissa,Apartment,2,2,1891,2021,3,Semi-Furnished,"Pool, Security",-0.433974,39.611766,10458675
111,Kisumu,Villa,5,5,2544,2023,2,Unfurnished,"Parking, Playground, Gym",-0.049248,34.797168,24730073
112,Malindi,House,3,1,3134,2023,3,Semi-Furnished,"Security, Pool, Playground",-3.238465,40.121591,24789076
113,Nakuru,Villa,6,3,1477,2020,3,Furnished,"Playground, Gym, Parking, Security",-0.343804,36.119695,8824231
114,Nairobi,House,6,3,967,2019,0,Unfurnished,"Parking, Pool",-1.314218,36.861098,12286001
115,Eldoret,Apartment,6,3,3137,2020,2,Unfurnished,"Security, Pool, Playground",0.533434,35.305723,21592804
116,Nakuru,Apartment,4,2,2977,2022,0,Semi-Furnished,"Playground, Security, Gym, Garden",-0.266315,36.119876,24328232
117,Nakuru,Bungalow,3,2,1954,2020,3,Furnished,"Security, Parking, Gym",-0.285713,36.040709,16912712
118,Thika,Apartment,2,5,2387,2018,1,Furnished,Security,-1.020502,37.062336,14095204
119,Nairobi,Villa,1,3,2395,2024,1,Unfurnished,"Security, Gym, Playground",-1.249756,36.824481,21298624
120,Eldoret,Villa,2,3,3079,2020,0,Furnished,"Playground, Security, Pool",0.47282,35.242513,21611366
121,Thika,Bungalow,5,3,2583,2021,1,Semi-Furnished,"Security, Gym, Parking",-1.059207,37.026015,13843778
122,Malindi,Bungalow,4,2,1957,2022,2,Semi-Furnished,Parking,-3.210775,40.158862,13954182
123,Naivasha,Townhouse,1,2,1245,2020,2,Furnished,"Pool, Parking",-0.706391,36.423636,9215454
124,Thika,House,6,2,2405,2018,1,Furnished,"Parking, Security",-1.067808,37.022799,12550204
125,Mombasa,Bungalow,1,2,2909,2020,0,Semi-Furnished,"Garden, Security",-4.017651,39.702967,21240866
126,Malindi,House,5,3,524,2022,0,Semi-Furnished,Gym,-3.189126,40.144821,4613924
127,Eldoret,House,2,3,2833,2021,0,Unfurnished,"Security, Gym, Playground, Parking",0.499821,35.312798,18002572
128,Eldoret,Apartment,2,4,3144,2020,1,Furnished,"Pool, Parking, Garden, Security",0.56688,35.25473,18991688
129,Naivasha,Townhouse,2,1,2193,2024,1,Unfurnished,"Garden, Security, Parking, Playground",-0.730353,36.464282,16204294
130,Eldoret,House,5,2,3939,2019,3,Furnished,"Playground, Parking",0.501211,35.308168,31752026
131,Nairobi,Bungalow,6,5,3788,2022,1,Unfurnished,Security,-1.262798,36.782677,41692224
132,Nakuru,Villa,4,5,644,2019,0,Unfurnished,Playground,-0.32165,36.066224,5161156
133,Eldoret,Townhouse,3,5,3406,2023,2,Semi-Furnished,Garden,0.542308,35.282207,20885864
134,Kisumu,Villa,4,5,2236,2018,0,Semi-Furnished,"Pool, Playground, Gym",-0.06147,34.771863,19735139
135,Thika,Villa,3,2,3011,2023,2,Semi-Furnished,Pool,-1.009279,37.088249,16226082
136,Nakuru,Villa,4,4,2218,2018,0,Furnished,"Pool, Security",-0.320459,36.053248,19701257
137,Garissa,Bungalow,1,4,3681,2021,1,Unfurnished,"Gym, Parking, Pool, Garden",-0.479867,39.679085,13480803
138,Wajir,Townhouse,1,2,1130,2022,2,Semi-Furnished,"Garden, Security, Pool, Parking",1.777382,40.055236,4383604
139,Thika,Townhouse,1,3,2826,2021,0,Furnished,"Playground, Parking",-1.078887,37.042361,14722006
140,Mombasa,Bungalow,3,4,581,2023,1,Semi-Furnished,"Parking, Garden, Security, Playground",-4.048039,39.706581,5426860
141,Nakuru,Villa,6,4,2915,2019,3,Unfurnished,Playground,-0.312898,36.108663,20217367
142,Wajir,Townhouse,6,2,3554,2020,0,Semi-Furnished,"Pool, Parking, Playground, Garden",1.768857,40.100689,11539212
143,Wajir,Townhouse,4,5,1342,2022,3,Furnished,"Playground, Pool, Gym",1.770196,40.10114,4767404
144,Mombasa,Townhouse,1,1,2696,2018,3,Furnished,"Security, Playground, Parking, Garden",-4.034457,39.643354,24822320
145,Kisumu,Villa,1,4,703,2018,3,Furnished,"Gym, Security, Parking, Garden",-0.134538,34.78418,5734404
146,Naivasha,Bungalow,2,1,3658,2021,3,Semi-Furnished,"Garden, Pool",-0.73096,36.457784,17606775
147,Wajir,House,4,1,2056,2021,3,Unfurnished,Parking,1.7506,40.037596,8778611
148,Eldoret,Apartment,5,2,430,2019,3,Semi-Furnished,Parking,0.560182,35.264182,3463130
149,Malindi,Bungalow,2,3,2665,2021,2,Furnished,"Gym, Security",-3.243587,40.09757,18791040
150,Thika,Apartment,2,1,1301,2018,2,Semi-Furnished,"Gym, Garden, Security, Playground",-1.012376,37.091703,8664436
151,Wajir,Bungalow,5,1,3917,2019,2,Furnished,"Pool, Gym",1.720502,40.070424,15969016
152,Mombasa,Apartment,2,2,468,2022,2,Furnished,"Playground, Parking, Pool, Gym",-4.071484,39.674216,4161339
153,Mombasa,House,1,4,1367,2023,1,Furnished,"Parking, Playground",-4.060255,39.661658,11209609
154,Garissa,Townhouse,6,3,2995,2021,0,Semi-Furnished,Gym,-0.415993,39.688114,11323597
155,Mombasa,Townhouse,1,4,2889,2024,3,Semi-Furnished,"Security, Playground",-4.019038,39.672204,28185702
156,Garissa,Townhouse,4,1,2088,2022,2,Furnished,"Garden, Gym",-0.440397,39.658855,9321606
157,Nairobi,House,2,4,1570,2020,2,Semi-Furnished,Garden,-1.291496,36.861938,16608384
158,Nairobi,House,4,2,1280,2024,2,Furnished,Playground,-1.33963,36.841493,12655232
159,Nakuru,House,6,3,1262,2018,0,Semi-Furnished,"Parking, Gym",-0.338531,36.115442,11154484
160,Eldoret,Apartment,4,4,3852,2023,3,Unfurnished,Gym,0.499272,35.223145,23119096
161,Nakuru,Apartment,4,1,3652,2024,3,Semi-Furnished,"Pool, Security",-0.313554,36.070982,30380363
162,Thika,Villa,3,4,3027,2021,3,Unfurnished,"Pool, Parking, Security",-0.997568,37.113466,18547361
163,Naivasha,Townhouse,6,3,525,2018,1,Semi-Furnished,"Parking, Pool",-0.700772,36.438847,3377538
164,Wajir,Villa,2,3,3468,2024,1,Unfurnished,"Security, Gym, Parking",1.7995,40.043233,15152628
165,Garissa,Townhouse,2,5,1297,2021,1,Semi-Furnished,"Security, Parking, Garden",-0.425549,39.636723,6783182
166,Eldoret,Apartment,6,1,3947,2022,2,Semi-Furnished,"Security, Pool",0.545131,35.313295,22884762
167,Wajir,Bungalow,6,2,3335,2023,1,Unfurnished,"Playground, Gym, Garden",1.75947,40.09575,10789092
168,Wajir,Apartment,5,1,3855,2018,3,Furnished,"Security, Playground",1.709653,40.076816,15132038
169,Naivasha,Townhouse,1,1,1452,2020,3,Furnished,"Security, Gym, Pool",-0.674998,36.424275,10212381
170,Eldoret,Bungalow,2,4,1269,2024,1,Unfurnished,"Parking, Gym, Garden, Security",0.559212,35.25963,6793724
171,Nairobi,Villa,6,3,3204,2022,3,Furnished,"Pool, Playground, Garden",-1.298789,36.780229,28159526
172,Nairobi,Villa,5,1,1769,2022,2,Semi-Furnished,Security,-1.258915,36.832498,19469340
173,Malindi,Apartment,4,1,3150,2019,3,Unfurnished,"Garden, Parking, Pool, Security",-3.210002,40.117576,24680200
174,Eldoret,Townhouse,5,5,1718,2018,1,Unfurnished,"Pool, Garden, Parking",0.519646,35.227822,11835364
175,Eldoret,Apartment,4,2,1570,2020,1,Furnished,"Pool, Parking, Garden, Security",0.479939,35.304262,12349270
176,Naivasha,Townhouse,5,1,502,2021,1,Unfurnished,"Gym, Parking, Playground, Pool",-0.704551,36.425959,3369030
177,Nakuru,Villa,6,2,1691,2021,0,Semi-Furnished,Parking,-0.338635,36.046994,15339432
178,Wajir,Villa,1,5,2883,2022,3,Semi-Furnished,"Pool, Parking, Gym",1.754929,40.022599,11559925
179,Garissa,Villa,1,1,1434,2019,0,Furnished,Parking,-0.429162,39.647761,6362708
180,Kisumu,Villa,1,2,919,2024,2,Unfurnished,Pool,-0.043038,34.787116,7957450
181,Thika,House,6,3,3720,2022,3,Semi-Furnished,Gym,-1.010584,37.044951,18033036
182,Thika,Townhouse,2,4,3341,2021,0,Unfurnished,"Pool, Playground, Garden",-1.03321,37.063459,21109982
183,Mombasa,Bungalow,4,2,581,2024,1,Furnished,"Garden, Pool",-4.087401,39.717845,5956335
184,Naivasha,Bungalow,6,2,2350,2018,0,Semi-Furnished,"Gym, Playground, Pool",-0.668343,36.456433,14785305
185,Thika,Villa,5,4,1257,2021,1,Unfurnished,"Parking, Garden, Gym, Pool",-1.011962,37.09857,9093354
186,Nairobi,Villa,5,1,566,2022,0,Unfurnished,"Garden, Security, Gym, Parking",-1.325528,36.787313,6846444
187,Eldoret,Apartment,1,3,1115,2020,0,Semi-Furnished,"Parking, Gym",0.553523,35.299664,8301940
188,Malindi,Apartment,5,4,2604,2023,2,Semi-Furnished,Playground,-3.199622,40.09728,17837432
189,Garissa,Villa,1,3,2757,2021,0,Semi-Furnished,"Gym, Parking, Security, Garden",-0.505004,39.655638,13794570
190,Nairobi,Townhouse,3,4,3001,2021,2,Furnished,"Playground, Parking",-1.276008,36.823373,37046644
191,Mombasa,Bungalow,1,5,3555,2018,3,Semi-Furnished,"Gym, Pool, Security",-4.031579,39.676362,34545817
192,Kisumu,Villa,4,5,2979,2023,1,Semi-Furnished,Security,-0.11703,34.755151,22613807
193,Thika,House,4,3,1323,2024,1,Furnished,"Security, Pool, Gym, Garden",-1.040461,37.111778,7991903
194,Garissa,Villa,5,3,2289,2022,2,Unfurnished,"Garden, Gym, Playground, Security",-0.448188,39.665824,13166181
195,Nakuru,House,2,1,646,2022,0,Unfurnished,"Gym, Security",-0.318473,36.056663,5478336
196,Kisumu,Apartment,2,4,3029,2021,0,Unfurnished,"Garden, Playground, Parking, Security",-0.121917,34.751096,25192884
197,Malindi,Apartment,2,1,3813,2020,2,Semi-Furnished,"Pool, Parking",-3.193389,40.165672,21991295
198,Thika,Villa,3,5,1798,2018,2,Unfurnished,Playground,-1.040127,37.112227,8921769
199,Wajir,House,3,2,3765,2022,1,Furnished,Playground,1.769599,40.105888,17902128
200,Wajir,Villa,4,4,1234,2023,3,Unfurnished,"Gym, Pool, Playground, Parking",1.718498,40.112623,5202974
201,Malindi,House,4,1,3558,2019,0,Semi-Furnished,"Gym, Garden",-3.265879,40.159585,20139784
202,Nairobi,Villa,3,4,3313,2019,2,Furnished,"Security, Playground, Gym, Parking",-1.292762,36.805149,41354696
203,Wajir,Villa,5,2,1514,2019,2,Furnished,Security,1.79594,40.054368,6977800
204,Thika,House,5,2,3248,2020,0,Unfurnished,"Playground, Pool, Garden, Security",-1.068901,37.044185,16846534
205,Mombasa,House,3,3,1566,2019,3,Unfurnished,"Parking, Playground",-4.037924,39.664281,16124743
206,Mombasa,Bungalow,2,1,3683,2019,0,Semi-Furnished,Security,-4.081387,39.697669,34870288
207,Wajir,Bungalow,3,4,3302,2023,1,Unfurnished,"Pool, Playground, Security, Garden",1.714122,40.052813,15095601
208,Wajir,Apartment,5,4,2377,2020,1,Semi-Furnished,Parking,1.764423,40.100882,10210995
209,Wajir,Townhouse,2,1,2948,2023,0,Furnished,"Playground, Parking",1.731521,40.085121,11859929
210,Garissa,Bungalow,3,4,697,2024,3,Unfurnished,"Garden, Parking",-0.444998,39.628646,3838250
211,Nairobi,Townhouse,3,3,2032,2022,0,Furnished,"Pool, Parking, Gym, Garden",-1.299465,36.84968,24882323
212,Malindi,Apartment,3,4,3473,2022,1,Unfurnished,"Garden, Pool, Parking, Playground",-3.206272,40.166406,26052295
213,Nakuru,Bungalow,3,2,3427,2024,2,Unfurnished,"Playground, Garden, Pool, Gym",-0.312106,36.061653,26936700
214,Eldoret,House,4,2,1413,2023,1,Semi-Furnished,"Playground, Parking",0.477109,35.231265,11681392
215,Naivasha,Villa,5,2,1513,2018,0,Semi-Furnished,Parking,-0.749604,36.480238,8678521
216,Nairobi,Villa,6,5,3804,2019,0,Furnished,"Pool, Security",-1.283207,36.834724,35128147
217,Malindi,Apartment,4,2,1163,2023,2,Unfurnished,Pool,-3.235757,40.151984,6537151
218,Mombasa,Apartment,5,4,838,2022,3,Semi-Furnished,"Parking, Gym",-4.006921,39.682504,7011260
219,Malindi,House,6,1,2817,2024,0,Unfurnished,"Pool, Gym, Garden",-3.191597,40.090572,19471083
220,Eldoret,House,4,1,3281,2018,2,Semi-Furnished,"Garden, Pool, Gym, Security",0.50471,35.241483,25069839
221,Nairobi,Bungalow,6,1,940,2023,2,Semi-Furnished,"Garden, Gym",-1.245079,36.805139,9479616
222,Thika,Apartment,5,3,2900,2024,0,Unfurnished,"Gym, Pool, Garden, Security",-1.016446,37.030802,20189840
223,Thika,Villa,1,1,915,2020,0,Furnished,"Parking, Garden, Playground",-0.995367,37.087291,5449456
224,Wajir,Townhouse,2,1,3394,2019,2,Unfurnished,"Security, Garden, Playground, Parking",1.732271,40.06959,15132921
225,Malindi,Villa,4,3,2102,2021,3,Semi-Furnished,"Playground, Pool",-3.220216,40.134201,11717168
226,Nakuru,Apartment,6,3,3948,2024,1,Furnished,"Pool, Playground",-0.312307,36.110317,28537232
227,Malindi,House,2,5,3245,2021,2,Unfurnished,"Playground, Parking",-3.19572,40.093317,26069140
228,Nakuru,Townhouse,2,4,3128,2022,0,Unfurnished,"Parking, Pool, Garden",-0.352364,36.070731,24653765
229,Mombasa,Townhouse,4,5,1327,2019,1,Unfurnished,"Pool, Playground",-3.999777,39.683221,12767374
230,Nakuru,Townhouse,5,1,1150,2020,0,Semi-Furnished,"Gym, Playground",-0.274911,36.042207,8942610
231,Eldoret,Apartment,2,1,712,2022,1,Semi-Furnished,"Playground, Gym",0.558458,35.248279,5774248
232,Naivasha,House,1,4,3360,2018,3,Unfurnished,"Parking, Playground",-0.76458,36.442124,25546624
233,Kisumu,Bungalow,4,1,2787,2018,1,Furnished,Playground,-0.09594,34.7273,19727287
234,Nakuru,House,5,2,2923,2019,2,Semi-Furnished,"Parking, Garden, Gym, Playground",-0.261732,36.037247,25000586
235,Kisumu,Townhouse,6,2,3151,2024,1,Unfurnished,Parking,-0.110386,34.787554,21600784
236,Kisumu,Apartment,4,3,1286,2018,3,Furnished,"Parking, Gym",-0.13103,34.811575,10190060
237,Nakuru,Bungalow,3,4,1500,2018,0,Furnished,"Security, Garden, Parking",-0.288975,36.070736,11854950
238,Mombasa,House,3,3,3956,2023,1,Furnished,"Pool, Playground, Garden, Security",-4.03316,39.633036,37540201
239,Nakuru,Bungalow,1,4,781,2021,0,Semi-Furnished,"Gym, Security, Garden",-0.301972,36.085774,5180717
240,Nairobi,Townhouse,1,3,918,2019,0,Unfurnished,"Pool, Parking, Playground",-1.257901,36.831301,9898364
241,Mombasa,Apartment,3,5,400,2022,0,Furnished,"Security, Pool, Garden",-4.082808,39.625351,3410800
242,Thika,Townhouse,3,2,1636,2018,2,Unfurnished,Playground,-1.016662,37.033199,10057594
243,Nakuru,Apartment,2,5,3416,2020,0,Semi-Furnished,Parking,-0.288236,36.106522,22730569
244,Malindi,Townhouse,1,5,3313,2020,2,Furnished,"Playground, Garden",-3.218398,40.083708,22923257
245,Thika,Bungalow,4,2,483,2021,3,Furnished,"Garden, Gym",-1.073224,37.039705,3450724
